Samples	HMR
R20291	1
JH142	1
JH148	1
JH149	1
JH150	1
JH151	1
JH152	1
JH153	1
JH154	1
JH155	1
JH156	1
JH157	1
JH158	1
JH159	1
JH160	0
JH161	0
JH162	0
JH163	0
JH164	0
JH165	0
JH166	0
JH167	0
JH168	1
JH169	1
JH170	0
JH171	0
JH172	0
JH173	1
JH175	1
JH176	0
JH177	0
JH179	1
JH180	0
JH181	1
JH182	0
JH183	0
JH184	0
JH185	0
JH186	0
JH187	0
JH188	0
JH189	0
JH190	0
JH192	0
JH193	0
JH194	0
JH195	0
JH196	0
JH197	0
JH198	0
JH199	0
JH200	0
JH201	1
JH202	1
JH203	1
JH204	0
JH205	0
JH206	0
JH207	0
JH208	0
JH209	0
JH210	0
JH211	1
JH214	1
JH215	1
JH216	1
JH217	1
JH218	1
JH219	1
JH220	1
JH221	1
JH222	1
JH223	1
JH224	1
JH225	1
JH227	1
JH228	1
JH229	1
JH230	1
JH231	1
JH232	1
JH233	1
JH234	1
JH235	1
JH236	1
JH237	1
JH238	1
JH239	1
JH240	1
JH241	1
JH242	1
JH243	1
JH244	1
JH245	1
JH246	1
JH247	1
JH248	0
JH249	0
JH250	1
JH260	1
JH261	1
JH262	1
JH263	1
JH264	0
JH265	0
JH266	0
JH267	0
JH268	0
JH269	0
JH270	0
JH271	0
JH272	0
JH273	0
JH274	0
JH275	0
JH276	0
JH277	0
JH278	0
JH279	0
JH281	0
JH282	1
JH283	1
JH284	1
JH285	0
JH286	0
JH287	0
JH289	1
JH293	0
JH294	1
JH295	1
JH298	1
JH299	0
JH300	1
JH301	0
JH305	0
JH306	0
JH307	0
JH308	0
JH309	0
JH311	0
JH312	0
JH313	0
JH314	0
JH315	1
JH316	1
JH317	1
JH318	1
JH319	1
JH320	1
JH321	1
JH322	0
JH323	0
JH324	0
JH325	0
JH326	0
JH327	0
JH328	0
JH329	0
JH330	0
JH331	0
JH332	0
JH347	0
JH359	0
JH360	0
JH361	0
JH363	0
JH364	1
JH365	1
JH366	1
JH367	0
JH368	0
JH369	0
JH370	0
JH371	0
JH372	0
JH373	0
JH374	1
JH375	0
JH376	0
JH377	0
JH378	0
JH379	1
JH380	1
JH382	0
JH383	0
JH384	0
JH385	0
JH386	0
JH388	0
JH389	1
JH390	0
JH391	0
JH392	0
JH393	0
JH394	0
JH395	0
JH396	0
JH397	0
JH398	0
JH399	0
JH400	0
JH401	0
JH402	0
JH403	0
JH404	1
JH405	1
JH406	0
JH407	0
JH408	0
JH409	0
JH411	0
JH412	0
JH413	0
JH414	0
JH415	0
JH416	0
JH417	0
JH418	0
JH419	0
JH420	0
JH421	0
JH422	0
JH423	0
JH424	0
JH425	0
JH426	0
JH427	0
JH428	0
JH429	0
JH430	0
JH431	0
JH432	0
JH433	0
JH434	0
JH435	1
JH436	1
JH437	1
JH438	0
JH439	1
JH440	0
JH441	0
JH442	1
JH443	1
JH444	1
JH445	0
JH446	1
JH447	1
JH448	1
JH449	0
JH450	0
JH451	1
JH452	0
JH453	0
JH454	0
JH455	0
JH456	0
JH457	1
JH458	0
JH459	0
JH460	0
JH461	0
JH463	1
JH464	0
JH465	0
JH466	0
JH467	1
JH468	0
JH469	0
JH470	0
JH471	0
JH472	0
JH473	0
JH474	0
JH476	1
JH477	1
JH478	0
JH479	0
JH480	1
JH481	0
JH482	0
JH483	0
JH484	0
JH485	0
JH486	1
JH487	0
JH488	1
JH489	0
JH490	0
JH491	0
JH492	1
JH493	1
JH494	1
JH495	0
JH497	1
JH498	0
JH499	0
JH500	0
JH501	1
JH502	1
JH503	1
JH504	1
JH505	0
JH506	1
JH508	1
JH509	1
JH510	0
JH511	1
JH512	0
JH513	1
JH514	1
JH515	1
JH516	1
JH517	1
JH518	0
JH519	1
JH520	1
JH521	1
JH522	1
JH523	1
JH524	0
JH525	0
JH526	1
JH527	1
JH528	0
JH529	1
JH530	0
JH531	0
JH532	0
JH533	1
JH534	0
JH535	1
JH536	0
JH537	0
JH538	1
JH539	1
JH540	1
JH541	1
JH542	1
JH543	1
JH544	1
JH545	0
JH546	0
JH547	0
JH548	1
JH549	0
JH557	1
JH558	1
JH559	1
